"gender","age","attitude","deep","stra","surf","points"
"M",22,3.7,0.368055555555556,0.5625,0.173611111111111,22
"M",23,3.2,0.402777777777778,0.421875,0.194444444444444,21
"M",24,2.8,0.256944444444444,0.328125,0.201388888888889,28
"F",22,4.1,0.25,0.515625,0.229166666666667,33
"F",23,2.5,0.340277777777778,0.328125,0.270833333333333,16
"M",22,2.8,0.340277777777778,0.28125,0.145833333333333,31
"M",20,3.8,0.3125,0.34375,0.215277777777778,22
"M",22,3.1,0.256944444444444,0.375,0.277777777777778,31
"M",21,3.5,0.395833333333333,0.203125,0.236111111111111,23
"F",22,3.6,0.354166666666667,0.234375,0.208333333333333,26
"F",23,2.6,0.347222222222222,0.421875,0.201388888888889,12
"M",21,4.4,0.368055555555556,0.46875,0.201388888888889,26
"M",22,4.5,0.319444444444444,0.265625,0.215277777777778,31
"M",29,3.2,0.277777777777778,0.296875,0.25,19
"F",29,3.9,0.263888888888889,0.34375,0.166666666666667,30
"F",21,2.5,0.263888888888889,0.390625,0.284722222222222,12
"M",28,3.3,0.319444444444444,0.4375,0.236111111111111,17
"F",21,3.3,0.354166666666667,0.328125,0.1875,18
"F",30,3,0.319444444444444,0.421875,0.229166666666667,19
"F",21,2.9,0.305555555555556,0.28125,0.326388888888889,21
"M",23,3.3,0.319444444444444,0.375,0.194444444444444,24
"F",21,3.3,0.319444444444444,0.5,0.229166666666667,28
"F",21,3.5,0.319444444444444,0.4375,0.229166666666667,17
"F",20,3.6,0.305555555555556,0.328125,0.243055555555556,18
"M",22,3.7,0.361111111111111,0.3125,0.173611111111111,17
"M",21,4.2,0.3125,0.46875,0.305555555555556,23
"M",21,3.2,0.347222222222222,0.453125,0.236111111111111,26
"F",20,5,0.333333333333333,0.515625,0.284722222222222,28
"M",22,4.7,0.333333333333333,0.546875,0.131944444444444,31
"F",20,3.6,0.381944444444444,0.328125,0.243055555555556,27
"F",20,3.6,0.305555555555556,0.5,0.25,25
"M",24,2.9,0.305555555555556,0.34375,0.243055555555556,23
"F",20,3.5,0.319444444444444,0.34375,0.222222222222222,21
"F",19,4,0.215277777777778,0.171875,0.25,27
"F",21,3.5,0.291666666666667,0.28125,0.229166666666667,28
"F",21,3.2,0.256944444444444,0.453125,0.256944444444444,23
"F",22,2.6,0.354166666666667,0.46875,0.208333333333333,21
"F",25,2,0.263888888888889,0.5,0.194444444444444,25
"F",21,2.7,0.256944444444444,0.390625,0.25,11
"F",22,3.2,0.347222222222222,0.40625,0.25,19
"F",25,3.3,0.1875,0.265625,0.333333333333333,24
"F",20,3.9,0.277777777777778,0.359375,0.270833333333333,28
"M",24,3.3,0.256944444444444,0.1875,0.291666666666667,21
"F",20,3,0.229166666666667,0.3125,0.291666666666667,24
"M",21,3.7,0.270833333333333,0.40625,0.319444444444444,24
"F",20,2.5,0.333333333333333,0.453125,0.243055555555556,20
"F",20,2.9,0.298611111111111,0.484375,0.180555555555556,19
"M",31,3.9,0.340277777777778,0.484375,0.138888888888889,30
"F",20,3.6,0.354166666666667,0.296875,0.173611111111111,22
"F",22,2.9,0.284722222222222,0.375,0.236111111111111,16
"F",22,2.1,0.256944444444444,0.421875,0.284722222222222,16
"M",21,3.1,0.291666666666667,0.34375,0.277777777777778,19
"M",22,4,0.305555555555556,0.5625,0.215277777777778,30
"F",21,3.1,0.354166666666667,0.328125,0.236111111111111,23
"F",21,2.3,0.354166666666667,0.34375,0.277777777777778,19
"F",21,2.8,0.319444444444444,0.40625,0.25,18
"F",21,3.7,0.368055555555556,0.515625,0.215277777777778,28
"F",20,2.6,0.291666666666667,0.421875,0.201388888888889,21
"F",21,2.4,0.298611111111111,0.34375,0.298611111111111,19
"F",25,3,0.305555555555556,0.515625,0.173611111111111,27
"M",21,2.8,0.173611111111111,0.40625,0.361111111111111,24
"F",24,2.9,0.354166666666667,0.359375,0.222222222222222,21
"F",20,2.4,0.298611111111111,0.359375,0.25,20
"M",21,3.1,0.333333333333333,0.296875,0.222222222222222,28
"F",20,1.9,0.277777777777778,0.484375,0.180555555555556,12
"F",20,2,0.291666666666667,0.265625,0.222222222222222,21
"F",18,3.8,0.263888888888889,0.5,0.1875,28
"F",21,3.4,0.298611111111111,0.40625,0.222222222222222,31
"F",19,3.7,0.284722222222222,0.328125,0.277777777777778,18
"F",21,2.9,0.354166666666667,0.34375,0.291666666666667,25
"F",20,2.3,0.270833333333333,0.5,0.229166666666667,19
"M",21,4.1,0.368055555555556,0.375,0.166666666666667,21
"F",20,2.7,0.270833333333333,0.421875,0.236111111111111,16
"F",21,3.5,0.326388888888889,0.484375,0.291666666666667,7
"F",20,3.4,0.298611111111111,0.40625,0.208333333333333,21
"F",18,3.2,0.375,0.421875,0.263888888888889,17
"M",22,3.3,0.298611111111111,0.515625,0.256944444444444,22
"F",22,3.3,0.305555555555556,0.4375,0.243055555555556,18
"M",24,3.5,0.215277777777778,0.25,0.263888888888889,25
"F",19,3.2,0.347222222222222,0.453125,0.208333333333333,24
"F",20,3.1,0.270833333333333,0.421875,0.319444444444444,23
"F",20,2.8,0.361111111111111,0.265625,0.1875,23
"F",17,1.7,0.326388888888889,0.578125,0.284722222222222,26
"M",19,1.9,0.222222222222222,0.3125,0.3125,12
"F",20,3.5,0.256944444444444,0.359375,0.25,32
"F",20,2.4,0.3125,0.34375,0.215277777777778,22
"F",20,2.1,0.347222222222222,0.5,0.277777777777778,20
"F",20,2.9,0.347222222222222,0.296875,0.236111111111111,21
"F",19,1.9,0.270833333333333,0.484375,0.25,23
"F",19,2,0.340277777777778,0.421875,0.236111111111111,20
"F",22,4.2,0.243055555555556,0.21875,0.263888888888889,28
"M",35,4.1,0.319444444444444,0.375,0.229166666666667,31
"F",18,3.7,0.263888888888889,0.328125,0.284722222222222,18
"F",19,3.6,0.284722222222222,0.328125,0.25,30
"M",21,1.8,0.340277777777778,0.421875,0.222222222222222,19
